iter	F1	Logloss
0	0.6405169832	0.6566529367
1	0.6192050366	0.6290954547
2	0.6027648629	0.608742655
3	0.6124096579	0.5891611057
4	0.6170903056	0.5762760787
5	0.6170697468	0.5650985909
6	0.6184238658	0.5559949069
7	0.6166118857	0.5478050235
8	0.6180414261	0.5413685913
9	0.6179801181	0.5363008115
10	0.6175327354	0.5315451174
11	0.619088738	0.527380484
12	0.6178456697	0.5239242962
13	0.6182581721	0.520859243
14	0.6175397379	0.5186215004
15	0.6170640324	0.5166514267
16	0.6183802856	0.5142615465
17	0.6185632385	0.512761403
18	0.6197811913	0.5103242354
19	0.620624311	0.5089603798
20	0.6213487425	0.5075916749
21	0.6202953646	0.5063952521
22	0.6210282387	0.5049379812
23	0.6223218993	0.5038129919
24	0.6229544762	0.5028893277
25	0.6239502587	0.5015608827
26	0.624750247	0.5006479422
27	0.6251295481	0.4998780333
28	0.6264098302	0.4990210249
29	0.6269590615	0.4981821747
30	0.6281017485	0.4975511484
31	0.6281597029	0.4966927687
32	0.6289339008	0.4960742891
33	0.629380139	0.4952838627
34	0.6293827014	0.4947044345
35	0.6298733876	0.4940956806
36	0.630077418	0.4932616012
37	0.6310488513	0.4926666963
38	0.6312987288	0.4922275009
39	0.6319694036	0.4915948457
40	0.6321503597	0.4910454803
41	0.6324004806	0.4904703148
42	0.6322216059	0.4900624462
43	0.6323677849	0.4895383539
44	0.6327945433	0.4891296578
45	0.633449916	0.4885977899
46	0.6339877547	0.4881215915
47	0.6339752991	0.4877151875
48	0.6342607065	0.4874306167
49	0.634752947	0.48701881
50	0.6352777395	0.4865425207
51	0.6352194228	0.4861960283
52	0.6355905042	0.4857361131
53	0.6357678112	0.4853938299
54	0.6360339204	0.4849874436
55	0.6362423709	0.4846185259
56	0.6364158101	0.4842954614
57	0.6365791828	0.4840424298
58	0.6369544548	0.4835387881
59	0.6373019334	0.4832054074
60	0.6375294113	0.4828947017
61	0.6378938733	0.4825067952
62	0.638329438	0.4822511531
63	0.6386349151	0.481993413
64	0.6388812232	0.4816300423
65	0.6394656708	0.4813894065
66	0.6396307729	0.4810529187
67	0.6399057251	0.4807920616
68	0.6401169927	0.480560475
69	0.6404713955	0.4801153295
70	0.6405597327	0.4798518974
71	0.6408761466	0.4796775573
72	0.6412287805	0.4793706616
73	0.6417820815	0.479087228
74	0.6418557455	0.4787538164
75	0.6421925249	0.4784927936
76	0.6423811904	0.4782903224
77	0.6424632284	0.4780130994
78	0.6427822453	0.4778117786
79	0.6429491271	0.477609412
80	0.6434441218	0.4772839732
81	0.6438133329	0.4769846078
82	0.6442351432	0.4766904178
83	0.6442361468	0.4763006639
84	0.6444750074	0.4758854252
85	0.644776431	0.4756933223
86	0.6448692903	0.4754420523
87	0.6449625815	0.4751854859
88	0.6450207732	0.4749569797
89	0.645337888	0.4747061434
90	0.6456509745	0.4744875439
91	0.6458818749	0.4743123315
92	0.6461867485	0.4740699182
93	0.6463404639	0.4739190015
94	0.6468228994	0.4737228025
95	0.6469247273	0.473503331
96	0.6468608487	0.4733649333
97	0.6472025992	0.4730393756
98	0.6470761422	0.4728652476
99	0.6474374504	0.4726952821
100	0.6474892551	0.4725532004
101	0.6475282675	0.4723511974
102	0.6476670607	0.4721512303
103	0.6479308031	0.4719534865
104	0.6479500326	0.4718001651
105	0.648025862	0.471647617
106	0.6484313528	0.4714805981
